,Distrito,CP
0,FUENCARRAL-EL PARDO ,28050
1,HORTALEZA           ,28050
2,FUENCARRAL-EL PARDO ,28108
3,CIUDAD LINEAL       ,28027
4,HORTALEZA           ,28027
5,SAN BLAS-CANILLEJAS ,28027
6,HORTALEZA           ,28042
7,SAN BLAS-CANILLEJAS ,28042
8,SAN BLAS-CANILLEJAS ,28022
9,BARAJAS             ,28042
10,MORATALAZ           ,28030
11,PUENTE DE VALLECAS  ,28038
12,VICALVARO           ,28032
13,PUENTE DE VALLECAS  ,28031
14,VILLA DE VALLECAS   ,28031
15,VICALVARO           ,28031
16,VICALVARO           ,28051
17,VILLA DE VALLECAS   ,28051
18,PUENTE DE VALLECAS  ,28053
19,VILLAVERDE          ,28021
20,USERA               ,28026
21,CARABANCHEL         ,28026
22,USERA               ,28041
23,CARABANCHEL         ,28041
24,VILLAVERDE          ,28914
25,LATINA              ,28011
26,LATINA              ,28024
27,MONCLOA-ARAVACA     ,28011
28,MONCLOA-ARAVACA     ,28040
29,MONCLOA-ARAVACA     ,28023
30,CENTRO              ,28013
31,CENTRO              ,28012
32,TETUAN              ,28039
33,CIUDAD LINEAL       ,28043
34,SAN BLAS-CANILLEJAS ,28037
35,CHAMARTIN           ,28002
36,FUENCARRAL-EL PARDO ,28034
37,HORTALEZA           ,28033
38,CHAMBERI            ,28015
39,CHAMARTIN           ,28036
40,LATINA              ,28047
41,CARABANCHEL         ,28044
42,CARABANCHEL         ,28025
43,RETIRO              ,28007
44,HORTALEZA           ,28043
45,ARGANZUELA          ,28005
46,RETIRO              ,28014
47,MONCLOA-ARAVACA     ,28008
48,ARGANZUELA          ,28045
49,CHAMARTIN           ,28016
50,CIUDAD LINEAL       ,28017
51,CARABANCHEL         ,28019
52,TETUAN              ,28029
53,CARABANCHEL         ,28054
54,CENTRO              ,28015
55,FUENCARRAL-EL PARDO ,28049
56,FUENCARRAL-EL PARDO ,28048
57,MONCLOA-ARAVACA     ,28035
58,VILLAVERDE          ,28041
59,HORTALEZA           ,28055
60,CENTRO              ,28005
61,MONCLOA-ARAVACA     ,28039
62,SALAMANCA           ,28009
63,CHAMBERI            ,28003
64,SALAMANCA           ,28028
65,SALAMANCA           ,28006
66,PUENTE DE VALLECAS  ,28018
67,VICALVARO           ,28052
68,CENTRO              ,28014
69,CHAMARTIN           ,28046
70,FUENCARRAL-EL PARDO ,28035
71,CHAMBERI            ,28010
72,SALAMANCA           ,28014
73,RETIRO              ,28009
74,SALAMANCA           ,28007
75,LATINA              ,28044
76,CIUDAD LINEAL       ,28033
77,BARAJAS             ,28055
78,TETUAN              ,28040
79,CENTRO              ,28004
80,TETUAN              ,28020
81,ARGANZUELA          ,28012
82,CHAMBERI            ,28004
83,SAN BLAS-CANILLEJAS ,28032
84,CHAMARTIN           ,28006
85,CIUDAD LINEAL       ,28028
86,CIUDAD LINEAL       ,28042
87,FUENCARRAL-EL PARDO ,28029
88,BARAJAS             ,28022
89,MONCLOA-ARAVACA     ,28015
90,VILLA DE VALLECAS   ,28053
91,SALAMANCA           ,28001
93,LATINA              ,28054
94,FUENCARRAL-EL PARDO ,28760
95,CHAMARTIN           ,28028
97,CARABANCHEL         ,28047
98,FUENCARRAL-EL PARDO ,28023
99,CHAMBERI            ,28046
100,SALAMANCA           ,28046
101,TETUAN              ,28046
102,FUENCARRAL-EL PARDO ,28046
103,VILLA DE VALLECAS   ,28007
104,ARGANZUELA          ,28007
105,CENTRO              ,28046
106,VICALVARO           ,28022
107,CHAMBERI            ,28040
108,CHAMBERI            ,28020
109,ARGANZUELA          ,28053
110,RETIRO              ,28012
111,LATINA              ,28019
112,CARABANCHEL         ,28011
113,CENTRO              ,28008
114,VICALVARO           ,28011
115,VICALVARO           ,28030
116,RETIRO              ,28001
117,CIUDAD LINEAL       ,28037
119,VILLA DE VALLECAS   ,28025
120,RETIRO              ,28038
121,LATINA              ,28005
122,FUENCARRAL-EL PARDO ,28036
123,CHAMARTIN           ,28034
124,BARAJAS             ,28043
125,USERA               ,28914
126,CARABANCHEL         ,28917
127,LATINA              ,28925
129,MONCLOA-ARAVACA     ,28005
130,LATINA              ,28008
131,CARABANCHEL         ,28005
132,CIUDAD LINEAL       ,28032
133,USERA               ,28011
134,MONCLOA-ARAVACA     ,28003
135,BARAJAS             ,28049
136,CHAMBERI            ,28008
137,USERA               ,28021
139,TETUAN              ,28003
140,FUENCARRAL-EL PARDO ,28039
